Species_code,Group,Species_name,Official_name,Alternative_names,Common_name,Order,Family,Genus,Diet,Body_mass_g,mean_SVL_mm,Source_SVL
b48,Birds,Pica pica,Pica pica,-,Eurasian magpie,Passeriformes,Corvidae,Pica,60,217.48,,
b49,Birds,Phylloscopus trochilus,Phylloscopus trochilus,-,Willow warbler,Passeriformes,Phylloscopidae,Phylloscopus,0,8.7,,
b50,Birds,Phylloscopus sibilatrix,Phylloscopus sibilatrix,-,Wood warbler,Passeriformes,Phylloscopidae,Phylloscopus,0,9.2,,
b51,Birds,Phoenicurus phoenicurus,Phoenicurus phoenicurus,-,Common redstart,Passeriformes,Muscicapidae,Phoenicurus,0,14.59,,
b52,Birds,Periparus ater,Periparus ater,Parus ater,Coal tit,Passeriformes,Paridae,Periparus,10,9.2,,
b53,Birds,Parus major,Parus major,-,Great tit,Passeriformes,Paridae,Parus,10,16.25,,
b54,Birds,Oenanthe oenanthe,Oenanthe oenanthe,-,Northern wheatear,Passeriformes,Muscicapidae,Oenanthe,0,25.39,,
b55,Birds,Numenius arquata,Numenius arquata,-,Eurasian curlew,Charadriiformes,Scolopacidae,Numenius,0,802.99,,
b56,Birds,Muscicapa striata,Muscicapa striata,-,Spotted flycather,Passeriformes,Muscicapidae,Muscicapa,0,15.9,,
b57,Birds,Motacilla alba,Motacilla alba,-,White wagtail,Passeriformes,Motacillidae,Motacilla,0,23.93,,
b58,Birds,Lyrurus tetrix,Lyrurus tetrix,Tetrao tetrix,Black grouse,Galliformes,Phasianidae,Lyrurus,0,1068.66,,
b59,Birds,Loxia sp.,Loxia sp.,-,Crossbill species,Passeriformes,Fringillidae,Loxia,0,53,,
b60,Birds,Lophophanes cristatus,Lophophanes cristatus,Parus cristatus,Crested tit,Passeriformes,Paridae,Lophophanes,0,11.04,,
b61,Birds,Hirundo rustica,Hirundo rustica,-,Barn swallow,Passeriformes,Hirundinidae,Hirundo,0,17.91,,
b62,Birds,Garrulus glandarius,Garrulus glandarius,-,Eurasian jay,Passeriformes,Corvidae,Garrulus,10,159.46,,
b63,Birds,Ficedula hypoleuca,Ficedula hypoleuca,-,European pied flycatcher,Passeriformes,Muscicapidae,Ficedula,0,13.79,,
b64,Birds,Emberiza schoeniclus,Emberiza schoeniclus,-,Reed bunting,Passeriformes,Emberizidae,Emberiza,0,18.4,,
b65,Birds,Emberiza hortulana,Emberiza hortulana,-,Ortolan bunting,Passeriformes,Emberizidae,Emberiza,0,19.9,,
b66,Birds,Emberiza citrinella,Emberiza citrinella,-,Yellowhammer,Passeriformes,Emberizidae,Emberiza,0,29.7,,
b67,Birds,Dryocopus martius,Dryocopus martius,-,Black woodpecker,Piciformes,Picidae,Dryocopus,0,321,,
b68,Birds,Dendrocopos major,Dendrocopos major,-,Great spotted woodpecker,Piciformes,Picidae,Dendrocopos,20,74.94,,
b69,Birds,Vultur gryphus,Vultur gryphus,-,Andean condor,Cathartiformes,Cathartidae,Vultur,100,11236.1,,
b70,Birds,Cuculus canorus,Cuculus canorus,-,Common cuckoo,Cuculiformes,Cuculidae,Cuculus,0,111.36,,
b71,Birds,Corvus monedula,Corvus monedula,-,Eurasian jackdaw,Passeriformes,Corvidae,Corvus,10,246,,
b72,Birds,Corvus corone,Corvus corone,-,Carrion crow,Passeriformes,Corvidae,Corvus,60,570,,
b73,Birds,Columba palumbus,Columba palumbus,-,Common woodpigeon,Columbiformes,Columbidae,Columba,0,490,,
b74,Birds,Chloris chloris,Chloris chloris,Carduelis chloris,European greenfinch,Passeriformes,Fringillidae,Chloris,0,26,,
b75,Birds,Certhia familiaris,Certhia familiaris,-,Eurasian treecreeper,Passeriformes,Certhiidae,Certhia,0,9,,
b76,Birds,Carpodacus erythrinus,Carpodacus erythrinus,-,Common rosefinch,Passeriformes,Fringillidae,Carpodacus,0,23.97,,
b77,Birds,Apus apus,Apus apus,-,Common swift,Caprimulgiformes,Apodidae,Apus,0,37.6,,
b78,Birds,Anthus trivialis,Anthus trivialis,-,Tree pipit,Passeriformes,Motacillidae,Anthus,0,23.33,,
b79,Birds,Anthus pratensis,Anthus pratensis,-,Meadow pipit,Passeriformes,Motacillidae,Anthus,0,18.4,,
b80,Birds,Alauda arvensis,Alauda arvensis,-,Eurasian skylark,Passeriformes,Alaudidae,Alauda,0,37.31,,
b81,Birds,Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,-,Sedge warbler,Passeriformes,Acrocephalidae,Acrocephalus,0,11.83,,
b82,Birds,Alectoris rufa,Alectoris rufa,-,Red leggged Partridge,Galliformes,Phasianidae,Alectoris,0,527.86,,
b83,Birds,Carduelis cannabina,Linaria cannabina,-,Common linnet,Passeriformes,Fringillidae,Linaria,0,19.53,,
b84,Birds,Carduelis carduelis,Carduelis carduelis,-,European goldfinch,Passeriformes,Fringillidae,Carduelis,0,16,,
b85,Birds,Certhia brachydactyla,Certhia brachydactyla,-,Short-toed treecreeper,Passeriformes,Certhiidae,Certhia,0,8.2,,
b86,Birds,Circus pygargus,Circus pygargus,-,Monatgu’s harrier,Accipitriformes,Accipitridae,Circus,90,310.75,,
b87,Birds,Emberiza cirlus,Emberiza cirlus,-,Cirl bunting,Passeriformes,Emberizidae,Emberiza,0,25.6,,
b88,Birds,Hippolais polyglotta,Hippolais polyglotta,-,Melodious warbler,Passeriformes,Acrocephalidae,Hippolais,0,11,,
b89,Birds,Luscinia megarhynchos,Luscinia megarhynchos,-,Common nightingale,Passeriformes,Muscicapidae,Luscinia,0,19.6,,
b90,Birds,Phasianus colchicus,Phasianus colchicus,-,Common pheasant,Galliformes,Phasianidae,Phasianus,0,1120.31,,
b91,Birds,Phoenicurus ochruros,Phoenicurus ochruros,-,Black redstart,Passeriformes,Muscicapidae,Phoenicurus,0,16.5,,
b92,Birds,Phylloscopus bonelli,Phylloscopus bonelli,-,Western Bonelli’s warbler,Passeriformes,Phylloscopidae,Phylloscopus,0,8.69,,
b93,Birds,Phylloscopus collybita,Phylloscopus collybita,-,Common chiffchaff,Passeriformes,Phylloscopidae,Phylloscopus,0,8.3,,
b94,Birds,Regulus ignicapilla,Regulus ignicapilla,-,Common firecrest,Passeriformes,Regulidae,Regulus,0,5.6,,
b95,Birds,Saxicola torquata,Saxicola torquatus,-,Common stonechat,Passeriformes,Muscicapidae,Saxicola,10,14.09,,
b96,Birds,Serinus serinus,Serinus serinus,-,European serin,Passeriformes,Fringillidae,Serinus,0,11.2,,
b97,Birds,Streptopelia turtur,Streptopelia turtur,-,European turtle-dove,Columbiformes,Columbidae,Streptopelia,0,132,,
b98,Birds,Sylvia atricapilla,Sylvia atricapilla,-,Eurasian blackcap,Passeriformes,Sylviidae,Sylvia,0,16.7,,
b99,Birds,Sylvia cantillans,Sylvia cantillans,-,Subalpine warbler,Passeriformes,Sylviidae,Sylvia,0,9.6,,
b100,Birds,Sylvia melanocephala,Sylvia melanocephala,-,Sardinian warbler,Passeriformes,Sylviidae,Sylvia,0,11.7,,
b101,Birds,Sylvia undata,Sylvia undata,-,Dartford warbler,Passeriformes,Sylviidae,Sylvia,0,10.8,,
b103,Birds,Upupa epops,Upupa epops,-,Common hoopoe,Bucerotiformes,Upupidae,Upupa,20,66.93,,
b104,Birds,Sitta europaea,Sitta europaea,-,Eurasian nuthatch,Passeriformes,Sittidae,Sitta,0,20.37,,
b105,Birds,Passer domesticus,Passer domesticus,-,House sparrow,Passeriformes,Passeridae,Passer,0,26.51,,
b106,Birds,Circus cyaneus,Circus cyaneus,-,Hen harrier,Accipitriformes,Accipitridae,Circus,90,392.98,,
b107,Birds,Columba livia,Columba livia,-,Rock dove,Columbiformes,Columbidae,Columba,0,354.2,,
b108,Birds,Zosterops lateralis,Zosterops lateralis,-,silvereye,Passeriformes,Zosteropidae,Zosterops,0,12.68,,
b109,Birds,Corvus corax,Corvus corax,-,Common raven,Passeriformes,Corvidae,Corvus,60,927.97,,
b112,Birds,Napothera epilepidota,Napothera epilepidota,-,Eyebrowed wren-babbler,Passeriformes,Pellorneidae,Napothera,0,16,,
b115,Birds,Pardalotus striatus,Pardalotus striatus,-,Striated pardalote,Passeriformes,Pardalotidae,Pardalotus,0,11.44,,
b119,Birds,Zenaida aurita,Zenaida aurita,-,Zenaida dove,Columbiformes,Columbidae,Zenaida,0,156,,
b120,Birds,Vireo latimeri,Vireo latimeri,-,Puerto rican vireo,Passeriformes,Vireonidae,Vireo,0,12,,
b121,Birds,Vireo altiloquus,Vireo altiloquus,-,Black-whiskered vireo,Passeriformes,Vireonidae,Vireo,0,18.97,,
b122,Birds,Tyrannus dominicensis,Tyrannus dominicensis,-,Grey kingbird,Passeriformes,Tyrannidae,Tyrannus,10,46.5,,
b123,Birds,Todus mexicanus,Todus mexicanus,-,Puerto rican tody,Coraciiformes,Todidae,Todus,10,5.9,,
b124,Birds,Turdus plumbeus,Turdus plumbeus,-,Norther red-legged thrush,Passeriformes,Turdidae,Turdus,30,75.3,,
b125,Birds,Setophaga adelaidae,Setophaga adelaidae,Dendroica adelaide,Adelaide’s warbler,Passeriformes,Parulidae,Setophaga,0,6.94,,
b126,Birds,Pyrrhulagra portoricensis,Pyrrhulagra portoricensis,Loxigilla portoricensis,Puerto rican bullfinch,Passeriformes,Thraupidae,Pyrrhulagra,0,32.04,,
b127,Birds,Patagioenas squamosa,Patagioenas squamosa,-,Scaly-naped pigeon,Columbiformes,Columbidae,Patagioenas,0,312,,
b128,Birds,Nesospingus speculiferus,Nesospingus speculiferus,-,Puerto rican tanager,Passeriformes,Nesospingidae,Nesospingus,10,35.2,,
b129,Birds,Myiarchus antillarum,Myiarchus antillarum,-,Puerto rican flycatcher,Passeriformes,Tyrannidae,Myiarchus,0,23.4,,
b130,Birds,Megascops nudipes,Megascops nudipes,-,Puerto rican screech-owl,Strigiformes,Strigidae,Megascops,10,137.34,,
b131,Birds,Margarops fuscatus,Margarops fuscatus,-,Pearly-eyed thrasher,Passeriformes,Mimidae,Margarops,20,98.43,,
b132,Birds,Coereba flaveola,Coereba flaveola,-,Bananaquit,Passeriformes,Thraupidae,Coereba,0,10.01,,
b133,Birds,Coccyzus vieilloti,Coccyzus vieilloti,-,Puerto rican lizard-cuckoo,Cuculiformes,Cuculidae,Coccyzus,50,81.9,,
b134,Birds,Buteo jamaicensis,Buteo jamaicensis,-,Red-tailed hawk,Accipitriformes,Accipitridae,Buteo,90,1101.16,,
b135,Birds,Crotophaga ani,Crotophaga ani,-,Smooth-billed ani,Cuculiformes,Cuculidae,Crotophaga,40,110.09,,
b136,Birds,Melanerpes portoricensis,Melanerpes portoricensis,-,Puerto rican woodpecker,Piciformes,Picidae,Melanerpes,0,59.86,,
b137,Birds,Burhinus oedicnemus,Burhinus oedicnemus,-,Eurasian Thick-knee,Charadriiformes,Burhinidae,Burhinus,40,459,,
b138,Birds,Coccyzus americanus,Coccyzus americanus,-,Yellow-billed cuckoo,Cuculiformes,Cuculidae,Coccyzus,30,64,,
b139,Birds,Empidonax virescens,Empidonax virescens,-,Acadian Flycatcher,Passeriformes,Tyrannidae,Empidonax,0,12.6,,
b140,Birds,Hylocichla mustelina,Hylocichla mustelina,-,Wood thrush,Passeriformes,Turdidae,Hylocichla,0,50.09,,
b141,Birds,Myiarchus crinitus,Myiarchus crinitus,-,Great crested flycatcher,Passeriformes,Tyrannidae,Myiarchus,0,32.1,,
b142,Birds,Piranga olivacea,Piranga olivacea,-,Scarlet tanager,Passeriformes,Cardinalidae,Piranga,0,28.2,,
b143,Birds,Seiurus aurocapilla,Seiurus aurocapilla,-,Ovenbird,Passeriformes,Parulidae,Seiurus,10,18.8,,
b144,Birds,Sitta carolinensis,Sitta carolinensis,-,White-breasted nuthatch,Passeriformes,Sittidae,Sitta,0,21,,
b145,Birds,Thryothorus ludovicianus,Thryothorus ludovicianus,-,Caroline wren,Passeriformes,Troglodytidae,Thryothorus,20,18.96,,
b148,Birds,Caligavis chrysops,Caligavis chrysops,Lichenostomus chrysops,Yellow-faced honeyeater,Passeriformes,Meliphagidae,Caligavis,0,17.3,,
b149,Birds,Colluricincla harmonica,Colluricincla harmonica,-,Grey shrike-thrush,Passeriformes,Pachycephalidae,Collurichincla,20,65.8,,
b150,Birds,Coracina novaehollandiae,Coracina novaehollandiae,-,Black-faced cuckoo-shrike,Passeriformes,Campephagidae,Coracina,0,118,,
b157,Birds,Malurus lamberti,Malurus lamberti,-,Variegated fairy-wren,Passeriformes,Maluridae,Malurus,0,8.04,,
b162,Birds,Pernis apivorus,Pernis apivorus,-,European honey-buzzard,Accipitriformes,Accipitridae,Pernis,20,754.37,,
b163,Birds,Miliaria calandra,Emberiza calandra,-,Corn bunting,Passeriformes,Emberizidae,Emberiza,0,48.5,,
b164,Birds,Poecile palustris,Poecile palustris,Parus palustris,Marsh tit,Passeriformes,Paridae,Poecile,0,11.14,,
b165,Birds,Picus canus,Picus canus,-,Grey-faced woodpecker,Piciformes,Picidae,Picus,0,137,,
b166,Birds,Luscinia luscinia,Luscinia luscinia,-,Thrush nightingale,Passeriformes,Muscicapidae,Luscinia,0,23.8,,
b167,Birds,Oriolus oriolus,Oriolus oriolus,-,Eurasian golden oriole,Passeriformes,Oriolidae,Oriolus,20,79,,
b168,Birds,Polioptila caerulea,Polioptila caerulea,-,Blue-grey Gnatcather,Passeriformes,Polioptilidae,Polioptila,0,5.8,,
b169,Birds,Agriornis montanus,Agriornis montanus,-,Black-billed shrike-tyrant,Passeriformes,Tyrannidae,Agriornis,50,63.3,,
b170,Birds,Cnemarchus erythropygius,Cnemarchus erythropygius,-,Red-rumped bush-tyrant,Passeriformes,Tyrannidae,Cnemarchus,0,41,,
b171,Birds,Dryobates minor,Dryobates minor,Dendrocopos minor,Lesser spotted woodpecker,Piciformes,Picidae,Dryobates,0,19.8,,
b172,Birds,Hippolais icterina,Hippolais icterina,-,Icterine warbler,Passeriformes,Acrocephalidae,Hippolais,0,13.2,,
b173,Birds,Scolopax rusticola,Scolopax rusticola,-,Eurasian woodcock,Charadriiformes,Scolopacidae,Scolopax,0,308.31,,
b174,Birds,Columba oenas,Columba oenas,-,Stock dove,Columbiformes,Columbidae,Columba,0,290.79,,
b175,Birds,Coccothraustes coccothraustes,Coccothraustes coccothraustes,-,Hawfinch,Passeriformes,Fringillidae,Coccothraustes,0,56.63,,
b176,Birds,Podoces biddulphi,Podoces biddulphi,-,Xinjiang ground-jay,Passeriformes,Corvidae,Podoces,20,109.2,,
b178,Birds,Limosa limosa,Limosa limosa,-,Black-tailed godwit,Charadriiformes,Scolopacidae,Limosa,20,288.37,,
b179,Birds,Haematopus ostralegus,Haematopus ostralegus,-,Eurasian Oystercatcher,Charadriiformes,Haematopodidae,Heamatopus,10,526,,
b180,Birds,Tringa totanus,Tringa totanus,-,Common redshank,Charadriiformes,Scolopacidae,Tringa,20,129,,
b181,Birds,Catharus guttatus,Catharus guttatus,-,Hermit thrush,Passeriformes,Turdidae,Catharus,0,30.1,,
b183,Birds,Gallinago jamesoni,Gallinago jamesoni,-,Adean snipe,Charadriiformes,Scolopacidae,Gallinago,10,166,,
b184,Birds,Aglaeactis cupripennis,Aglaeactis cupripennis,-,Shining sunbeam,Caprimulgiformes,Trochilidae,Aglaeactis,0,7.6,,
b185,Birds,Anairetes parulus,Anairetes parulus,-,Tufted tit-tyrant,Passeriformes,Tyrannidae,Anairetes,0,6.2,,
b186,Birds,Catamenia homochroa,Catamenia homochroa,-,Paramo seedeater,Passeriformes,Thraupidae,Catamenia,0,12.2,,
b187,Birds,Conirostrum cinereum,Conirostrum cinereum,-,Cinereous conebill,Passeriformes,Thraupidae,Conirostrum,0,8.8,,
b188,Birds,Cinclodes excelsior,Cinclodes excelsior,-,Stout-billed cinclodes,Passeriformes,Furnariidae,Cinclodes,10,63.96,,
b189,Birds,Conirostrum binghami,Conirostrum binghami,Oreomanes fraseri,Gian conebill,Passeriformes,Thraupidae,Conirostrum,0,25,,
b190,Birds,Dubusia taeniata,Dubusia taeniata,-,Buff-breasted mountain-tanager,Passeriformes,Thraupidae,Dubusia,0,37,,
b191,Birds,Mecocerculus leucophrys,Mecocerculus leucophrys,-,White-throated tyrannulet,Passeriformes,Tyrannidae,Mecocerculus,0,10.98,,
b192,Birds,Atlapetes latinuchus,Atlapetes latinuchus,-,Yellow-breasted brush-finch,Passeriformes,Passerellidae,Atlapetes,0,23.56,,
b193,Birds,Turdus fuscater,Turdus fuscater,-,Great thrush,Passeriformes,Turdidae,Turdus,0,143,,
b194,Birds,Muscisaxicola alpinus,Muscisaxicola alpinus,-,Plain-capped ground-tyrant,Passeriformes,Tyrannidae,Muscisaxicola,0,26.1,,
b195,Birds,Catamenia inornata,Catamenia inornata,-,Plain-colored seedeater,Passeriformes,Thraupidae,Catamenia,0,13.4,,
b196,Birds,Zonotrichia capensis,Zonotrichia capensis,-,Rufous-collared sparrow,Passeriformes,Passerellidae,Zonotrichia,0,20.31,,
b197,Birds,Ochthoeca fumicolor,Ochthoeca fumicolor,-,Brown0backed chat-tyrant,Passeriformes,Tyrannidae,Ochthoeca,0,16.6,,
b198,Birds,Diglossa humeralis,Diglossa humeralis,-,Black flowerpiercer,Passeriformes,Thraupidae,Diglossa,0,13.14,,
b199,Birds,Leptasthenura andicola,Leptasthenura andicola,-,Andean tit-spinetail,Passeriformes,Furnariidae,Letasthenura,0,15.49,,
b200,Birds,Oreotrochilus chimborazo,Oreotrochilus chimborazo,-,Ecuadorian hillstar,Caprimulgiformes,Trochilidae,Oreotrochilus,0,8.2,,
b201,Birds,Grallaria quitensis,Grallaria quitensis,-,Western tawny antpitta,Passeriformes,Grallariidae,Grallaria,10,65.7,,
b202,Birds,Pellorneum capistratum,Pellorneum capistratum,-,Rufous-browed babbler,Passeriformes,Pellorneidae,Pellorneum,0,29,,
b203,Birds,Chalcostigma stanleyi,Chalcostigma stanleyi,-,Blue-mantled thornbill,Caprimulgiformes,Trochilidae,Chalcostigma,0,5.8,,
b204,Birds,Xenodacnis parina,Xenodacnis parina,-,Tit-like dacnis,Passeriformes,Thraupidae,Xenodacnis,0,11.5,,
b205,Birds,Metallura baroni,Metallura baroni,-,Violet-throated metaltail,Caprimulgiformes,Trochilidae,Metallura,0,4.3,,
b206,Birds,Asthenes flammulata,Asthenes flammulata,-,Many-striped canastero,Passeriformes,Furnariidae,Asthenes,0,22.5,,
b207,Birds,Geospizopsis unicolor,Geospizopsis unicolor,Phrygilus unicolor,Plumbeous sierra-finch,Passeriformes,Thraupidae,Geospizopsis,0,21.9,,
b208,Birds,Cinclodes fuscus,Cinclodes fuscus,-,Buff-winged cinclodes,Passeriformes,Furnariidae,Cinclodes,0,30,,
b210,Birds,Anas platyrhynchos,Anas platyrhynchos,-,Mallard,Anseriformes,Anatidae,Anas,20,843.42,,
b211,Birds,Acrocephalus palustris,Acrocephalus palustris,-,Marsh warbler,Passeriformes,Acrocephalidae,Acrocephalus,0,11.5,,
b212,Birds,Picus viridis,Picus viridis,-,Eurasian green woodpecker,Piciformes,Picidae,Picus,0,176,,
b213,Birds,Pithys albifrons,Pithys albifrons,-,White-plumed antbird,Passeriformes,Thamnophilidae,Pithys,10,19.47,,
b214,Birds,Gymnopithys leucaspis,Gymnopithys leucaspis,-,White-cheeked antbird,Passeriformes,Thamnophilidae,Gymnopithys,10,27.2,,
b215,Birds,Pipra coronata,Lepidothrix coronata,Lepidothrix coronata,Blue-crowned manakin,Passeriformes,Pipridae,Lepidothrix,0,8.34,,
b216,Birds,Glyphorynchus spirurus,Glyphorynchus spirurus,-,Wedge-billed woodcreeper,Passeriformes,Furnariidae,Glyphorynchus,0,14.6,,
b218,Birds,Zonotrichia albicollis,Zonotrichia albicollis,-,White-throated sparrow,Passeriformes,Passerellidae,Zonotrichia,0,24.4,,
b219,Birds,Turdus migratorius,Turdus migratorius,-,American robin,Passeriformes,Turdidae,Turdus,0,78.5,,
b222,Birds,Dryobates pubescens,Dryobates pubescens,Picoides pubescens,Downy woodpecker,Piciformes,Picidae,Dryobates,0,25.55,,
b223,Birds,Empidonax flaviventris,Empidonax flaviventris,-,Yellow-bellied flycatcher,Passeriformes,Tyrannidae,Empidonax,0,11.8,,
b224,Birds,Geothlypis philadelphia,Geothlypis philadelphia,Oporornis philadelphia,Mourning warbler,Passeriformes,Parulidae,Geothlypis,0,11.74,,
b225,Birds,Haemorhous purpureus,Haemorhous purpureus,Carpodacus purpureus,Purple finch,Passeriformes,Fringillidae,Haemorhous,0,23.3,,
b226,Birds,Junco hyemalis,Junco hyemalis,-,Dark-eyed junco,Passeriformes,Passerellidae,Junco,0,19.5,,
b227,Birds,Leuconotopicus villosusá,Leuconotopicus villosus,Picoides villosus,Hairy woodpecker,Piciformes,Picidae,Leuconotopicus,0,62.65,,
b228,Birds,Melospiza lincolnii,Melospiza lincolnii,-,Lincoln’s sparrow,Passeriformes,Passerellidae,Melospiza,0,16.6,,
b229,Birds,Parkesia noveboracensis,Parkesia noveboracensis,Seiurus noveboracensis,Northern waterthrush,Passeriformes,Parulidae,Parkesia,10,16.3,,
b230,Birds,Passerella iliaca,Passerella iliaca,-,Red fox-sparrow,Passeriformes,Passerellidae,Passerella,0,33.25,,
b231,Birds,Perisoreus canadensis,Perisoreus canadensis,-,Grey jay,Passeriformes,Corvidae,Perisoreus,20,71.58,,
b234,Birds,Regulus calendula,Regulus calendula,-,Ruby-crowned kinglet,Passeriformes,Regulidae,Regulus,0,6.19,,
b235,Birds,Regulus satrapa,Regulus satrapa,-,Golden-crowned kinglet,Passeriformes,Regulidae,Regulus,0,6.19,,
b236,Birds,Poecile hudsonicus,Poecile hudsonicus,Parus hudsonicus,Boreal chickadee,Passeriformes,Paridae,Poecile,0,9.8,,
b237,Birds,Poecile atricapillus,Poecile atricapillus,Parus atricapillus,Black-bapped chickadee,Passeriformes,Paridae,Poecile,0,10.8,,
b238,Birds,Setophaga coronata,Setophaga coronata,Dendroica coronata,Myrtle warbler,Passeriformes,Parulidae,Setophaga,0,11.94,,
b239,Birds,Setophaga magnolia,Setophaga magnolia,Dendroica magnolia,Magnolia warbler,Passeriformes,Parulidae,Setophaga,0,8.14,,
b241,Birds,Setophaga virens,Setophaga virens,Dendroica virens,Black-throated green warbler,Passeriformes,Parulidae,Setophaga,0,8.69,,
b242,Birds,Sitta canadensis,Sitta canadensis,-,Red-breasted nuthatch,Passeriformes,Sittidae,Sitta,0,9.8,,
b244,Birds,Chordeiles minor,Chordeiles minor,-,Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles,0,79.3,,
b245,Birds,Fringilla teydea,Fringilla teydea,-,Tenerife bleu chaffinch,Passeriformes,Fringillidae,Fringilla,0,30.3,,
b246,Birds,Anthus berthelotii,Anthus berthelotii,-,Berthelot’s pipit,Passeriformes,Motacillidae,Anthus,0,15.86,,
b247,Birds,Lichenostomus ornatus,Ptilotula ornata,-,Yelow-plumed honeyeater,Passeriformes,Meliphagidae,Ptilotula,0,17.63,,
b248,Birds,Pardalotus punctatus,Pardalotus punctatus,-,Spotted pardalote,Passeriformes,Pardalotidae,Pardalotus,0,8.7,,
b249,Birds,Pomatostomus superciliosus,Pomatostomus superciliosus,-,White browed babbler,Passeriformes,Pomatostomidae,Pomatostomus,10,41.53,,
b250,Birds,Cinclosoma castanotus,Cinclosoma castanotum,-,Chestnut quail-thrush,Passeriformes,Cinclosomatidae,Cinclosoma,0,73.33,,
b251,Birds,Barnardius zonarius,Barnardius zonarius,-,Australian ringneck,Psittaciformes,Psittacidae,Barnardius,0,121,,
b252,Birds,Acanthagenys rufogularis,Acanthagenys rufogularis,-,Spiny-cheeked honeyeater,Passeriformes,Meliphagidae,Acanthagenys,10,47.8,,
b253,Birds,Drymodes brunneopygia,Drymodes brunneopygia,-,Southern scrub-robin,Passeriformes,Petroicidae,Drymodes,0,32.95,,
b254,Birds,Lichenostomus virescens,Gavicalis virescens,-,Signing honeyeater,Passeriformes,Meliphagidae,Gavicalis,0,23.33,,
b255,Birds,Anthochaera carunculata,Anthochaera carunculata,-,Red wattlebirds,Passeriformes,Meliphagidae,Anthochaera,0,106.07,,
b256,Birds,Gymnorhina tibicen,Gymnorhina tibicen,-,Australian magpie,Passeriformes,Artamidae,Gymnorhina,30,284.87,,
b257,Birds,Corvus mellori,Corvus mellori,-,Little raven,Passeriformes,Corvidae,Corvus,40,540.37,,
b259,Birds,Ammodramus savannarum,Ammodramus savannarum,-,Grasshopper sparrow,Passeriformes,Passerellidae,Ammodramus,0,17.61,,
b260,Birds,Sturnella neglecta,Sturnella neglecta,-,Western meadowlark,Passeriformes,Icteridae,Sturnella,0,100.06,,
b263,Birds,Vireo solitarius,Vireo solitarius,-,Blue-headed vireo,Passeriformes,Vireonidae,Vireo,0,15.3,,
b265,Birds,Spizella passerina,Spizella passerina,-,Chipping sparrow,Passeriformes,Passerellidae,Spizella,0,12.2,,
b268,Birds,Ammospiza leconteii,Ammospiza leconteii,Ammodramus leconteii,Le Conte’s sparrow,Passeriformes,Passerellidae,Ammospiza,0,13,,
b269,Birds,Bombycilla cedrorum,Bombycilla cedrorum,-,Cedar waxwing,Passeriformes,Bombycillidae,Bombycilla,0,31.58,,
b270,Birds,Bonasa umbellus,Bonasa umbellus,-,Ruffed grouse,Galliformes,Phasianidae,Bonasa,0,530.91,,
b271,Birds,Cardellina canadensis,Cardellina canadensis,Wilsonia canadensis,Canada warbler,Passeriformes,Parulidae,Cardellina,0,10.04,,
b272,Birds,Cardellina pusilla,Cardellina pusilla,Wilsonia pusilla,Wilson’s warbler,Passeriformes,Parulidae,Cardellina,0,6.96,,
b273,Birds,Certhia americana,Certhia americana,-,American treecreeper,Passeriformes,Certhiidae,Certhia,0,8.1,,
b274,Birds,Colaptes auratus,Colaptes auratus,-,Yellow-shafted flicker,Piciformes,Picidae,Colaptes,0,131.46,,
b275,Birds,Empidonax alnorum,Empidonax alnorum,-,Alder flycatcher,Passeriformes,Tyrannidae,Empidonax,0,12.7,,
b276,Birds,Empidonax minimus,Empidonax minimus,-,Least flycatcher,Passeriformes,Tyrannidae,Empidonax,0,10,,
b277,Birds,Geothlypis trichas,Geothlypis trichas,-,Common yellowthroat,Passeriformes,Parulidae,Geothlypis,0,9.54,,
b278,Birds,Leiothlypis celata,Leiothlypis celata,"Vermivora celata, Oreothlypis celata ",Orange-crowned warbler,Passeriformes,Parulidae,Leiothlypis,0,9.19,,
b279,Birds,Leiothlypis peregrina,Leiothlypis peregrina,"Vermivora peregrina, Oreothlypis peregrina",Tennessee warbler,Passeriformes,Parulidae,Leiothlypis,0,8.9,,
b280,Birds,Loxia leucoptera,Loxia leucoptera,-,Two-barred crossbill,Passeriformes,Fringillidae,Loxia,0,28.69,,
b281,Birds,Melospiza georgiana,Melospiza georgiana,-,Swamp sparrow,Passeriformes,Passerellidae,Melospiza,0,16.1,,
b282,Birds,Mniotilta varia,Mniotilta varia,-,Black-and-white warbler,Passeriformes,Parulidae,Mniotilta,0,10.9,,
b283,Birds,Molothrus ater,Molothrus ater,-,Brown-headed cowbird,Passeriformes,Icteridae,Molothrus,0,40.26,,
b284,Birds,Oporornis agilis,Oporornis agilis,-,Conneticut warbler,Passeriformes,Parulidae,Oporornis,0,13.3,,
b285,Birds,Pheucticus ludovicianus,Pheucticus ludovicianus,-,Rose-breasted grosbeak,Passeriformes,Cardinalidae,Pheucticus,0,42,,
b286,Birds,Picoides dorsalis,Picoides dorsalis,-,American three-toed woodpecker,Piciformes,Picidae,Picoides,0,55.05,,
b287,Birds,Piranga ludoviciana,Piranga ludoviciana,-,Western tanager,Passeriformes,Cardinalidae,Piranga,0,28.1,,
b288,Birds,Setophaga castanea,Setophaga castanea,Dendroica castanea,Bay-breasted warbler,Passeriformes,Parulidae,Setophaga,0,11.8,,
