Author,Year,NumberInDatabase,#Studies,#DatapointsFinal,StudyYear,Taxa,Orders,Infrastructure,Location,Habitat,Quality,Origin,Citation
Goodwin et al. ,2011,18,1,16,2009,Birds,"Passeriformes (7 sp.), Cuculiformes (1 sp.)",Paved road,"Prince William County, Virginia, USA",Boreal forest,"1 (a=1,b=0)",Search string,"Goodwin, S. E., & Shriver, W. G. (2011). Effects of traffic noise on occupancy patterns of forest birds. Conservation Biology, 25(2), 406-411."
Herrera-Montes et al. ,2011,19,2,86,2009,"Birds, Amphibians","Passeriformes (10 sp.), Cuculiformes (2 sp.), Piciformes (1 sp.), Coraciiformes (1 sp.) Columbiformes (2 sp.), Strigiformes (1 sp.), Accipitriformes (1 sp.), Anura (6 sp.)",Highway,"San Juan, Puerto Rico","Karst forest, Subtropical lowland forest","2 (a=1,b=1)",Search string,"Herrera-Montes, M. I., & Aide, T. M. (2011). Impacts of traffic noise on anuran and bird communities. Urban Ecosystems, 14(3), 415-427."
Polak et al. ,2013,22,1,117,2011,Birds,"Passeriformes (32 sp.), Piciformes (3 sp.), Columbiformes (2 sp.), Cuculiformes (1 sp.), Accipitriformes (1 sp.)",Paved road,"Janów forest, Poland",Coniferous forest,"1 (a=1,b=0)",Search string,"Polak, M., Wiącek, J., Kucharczyk, M., & Orzechowski, R. (2013). The effect of road traffic on a breeding community of woodland birds. European Journal of Forest Research, 132(5-6), 931-941."
Reijnen & Foppen,1994,23,2,6,1988-1991,Birds,Passeriformes (1 sp.),Highway,"Bolgerijen-Autena, the Netherlands","Grassland, shrubland","2 (a=1,b=1)",Benitez-Lopez et al. 2012,"Reijnen, R., & Foppen, R. (1994). The effects of car traffic on breeding bird populations in woodland. I. Evidence of reduced habitat quality for willow warblers (Phylloscopus trochilus) breeding close to a highway. Journal of Applied ecology, 85-94."
Reijnen et al. ,1995,25,2,122,1987-1988,Birds,"Passeriformes (33 sp.), Anseriformes (1 sp.), Accipitriformes (1 sp.), Columbiformes (2 sp.), Cuculiformes (1 sp.), Piciformes (3 sp.), Galliformes (1 sp.), Charadriiformes (1 sp.) ",Highway,Various locations spread across the Netherlands,"Deciduous woodland, coniferous woodland","1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Reijnen, R., Foppen, R., Braak, C. T., & Thissen, J. (1995). The effects of car traffic on breeding bird populations in woodland. III. Reduction of density in relation to the proximity of main roads. Journal of Applied ecology, 187-202."
van der Zande et al. ,1980,28,5,80,"1968-1971, 1974",Birds,Charadriiformes (4 sp.),"Highway, paved road","South & North Holland, the Netherlands",Grassland,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Van der Zande, A. N., Ter Keurs, W. J., & Van der Weijden, W. J. (1980). The impact of roads on the densities of four bird species in an open field habitat—evidence of a long-distance effect. Biological conservation, 18(4), 299-321."
Wiacek et al. ,2015,30,1,57,2012,Birds,"Passeriformes (17 sp.), Piciformes (2 sp.)",Paved road,"Janów forest, Poland",Coniferous forest,"1 (a=1,b=0)",Search string,"Wiącek, J., Polak, M., Kucharczyk, M., & Bohatkiewicz, J. (2015). The influence of road traffic on birds during autumn period: Implications for planning and management of road network. Landscape and Urban Planning, 134, 76-82."
Wiacek & Polak,2015,32,1,51,2013-2014,Birds,"Passeriformes (15 sp.), Piciformes (2 sp.)",Paved road,"Janów forest, Poland",Coniferous forest,"1 (a=1,b=0)",Search string,"Wiącek, J., & Polak, M. (2015). Does traffic noise affect the distribution and abundance of wintering birds in a managed woodland?. Acta Ornithologica, 50(2), 233-245."
Xu et al. ,2013,33,1,3,,Birds,Passeriformes (1 sp.),Highway,"Taklimakan desert, China",Desert,"1 (a=1,b=0)",Search string,"Xu, F., Yang, W., Xu, W., Xia, C., Liao, H., & Blank, D. (2013). The effects of the Taklimakan desert highway on endemic birds Podoces biddulphi. Transportation Research Part D: Transport and Environment, 20, 12-14."
Roedenbeck et al. ,2008,34,2,10,"2003,2005",Mammals,Lagomorpha (1 sp.),Paved road,"Aargau, Switzerland",Agricultural,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Roedenbeck, I. A., & Voser, P. (2008). Effects of roads on spatial distribution, abundance and mortality of brown hare (Lepus europaeus) in Switzerland. European Journal of Wildlife Research, 54(3), 425-437."
Rost & Bailey,1979,35,6,24,1973-1974,Mammals,"Artiodactyla (1 sp.), Cetartiodactyla (1 sp.)","Highway, paved road, gravel road, dirt road","Colorado, USA","Shrubland, coniferous forest","1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Rost, G. R., & Bailey, J. A. (1979). Distribution of mule deer and elk in relation to roads. The Journal of Wildlife Management, 634-641."
Yost & Wright,2001,37,12,12,1996-1997,Mammals,"Cetartiodactyla (2 sp.), Carnivora (1 sp.)",Paved road,"Denali national park, Alaska, USA",Shrubland,"1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Yost, A. C., & Wright, R. G. (2001). Moose, caribou, and grizzly bear distribution in relation to road traffic in Denali National Park, Alaska. Arctic, 41-48."
Canaday,1996,38,12,12,1989,Birds,Passeriformes (4 sp.),Paved road ,"Cuyabeno Reserve, Equador",Tropical rainforest,"2 (a=1,b=1)",Benitez-Lopez et al. 2012,"Canaday, C. (1996). Loss of insectivorous birds along a gradient of human impact in Amazonia. Biological Conservation, 77(1), 63-77."
Hoskins & Goosem,2010,39,2,15,2007,Amphibians,Anura (2 sp.),Highway,"Queensland, Australia",Tropical rainforest,"1 (a=1,b=0)",Search string,"Hoskin, C. J., & Goosem, M. W. (2010). Road impacts on abundance, call traits, and body size of rainforest frogs in northeast Australia. Ecology and society, 15(3)."
Brehme,2003,40,3,30,2001,"Mammals, Reptiles","Rodentia (3 sp.), Squamata (2 sp.)","Highway, paved road, dirt road","San Diego County, USA",Coastal sage scrub,"1 (a=1,b=0)",Search string,"Brehme, C. S. (2003). Responses of Small Terrestrial Vertebrates to Roads in Coastal Sage Scrub Ecosystem."
Carthew et al.,2013A,41,4,70,1999-2000,"Mammals, Reptiles, Amphibians","Anura (4 sp.), Squamata (6 sp.), Rodentia (3 sp.), Dasyuromorphia (1 sp.)","Seismic line, fire trail","Nangwarry Native Forest Reserve, Australia",Sclerophyl woodland,"1 (a=1,b=0)",Search string,"Carthew, S. M., Jones, K. M., & Lawes, M. (2013). Responses of small vertebrates to linear clearings in a South Australian woodland. Ecological research, 28(6), 1003-1010."
Dorland et al.,2014,42,1,2,2011,Reptiles,Testudines (1 sp.),"Highway, paved road","Ottowa region, Canada","Forest, grassland","1 (a=1,b=0)",Search string,"Dorland, A., Rytwinski, T., & Fahrig, L. (2014). Do roads reduce painted turtle (Chrysemys picta) populations?. PloS one, 9(5)."
Boarman and Sazaki,2006,43,1,4,1991,Reptiles,Testudines (1 sp.),Highway,"Mojave desert, USA",Desert,"1 (a=1,b=0)",Search string,"Boarman, W. I., & Sazaki, M. (2006). A highway's road-effect zone for desert tortoises (Gopherus agassizii). Journal of Arid Environments, 65(1), 94-101."
Smith et al,2015,44,2,220,2012-2013,"Reptiles, Amphibians, Mammals","Squamata (35 sp.), Anura (17 sp.), Caudata (1 sp.), Rodentia (6 sp.), Elipotyphla (4 sp.)",Paved road,"Marion County, Florida, USA",Mixed pine forest,"2 (a=1,b=1)",Discussion literature,"Smith, D.J., M.K. Grace, H.R. Chasez and M.J.W. Noss. 2015. State Road 40 Pre-Construction Wildlife Movement Monitoring: Areas A, B and F. Final Report, Contract No. BDK78, TWO #501-3. Florida Department of Transportation, District Five, Deland, FL. 90 pp. + appendices."
Chiarello et al.,2010,45,1,3,2004-2006,Reptiles,Squamata (1 sp.),Dirt road,"Espirito Santo state, Brazil",Atlantic forest,"2 (a=1,b=1)",Search string,"Chiarello, A., Srbek-Araujo, A., Del-Duque Jr, H., de Coelho, E., & Rocha, C. (2010). Abundance of tegu lizards (Tupinambis merianae) in a remnant of the Brazilian Atlantic forest. Amphibia-Reptilia, 31(4), 563-570."
Ballasus & Sossinka,1997,47,4,42,1994-1995,Birds,Anseriformes (1 sp.),Powerline,"North Rhine Westfalia, Germany","Grassland, agricultural","1 (a=1,b=0)",Benitez-Lopez et al. 2012,"Ballasus, H., & Sossinka, R. (1997). The impact of power lines on field selection and grazing intensity of wintering White-fronted-and Bean Geese Anser albifrons, A. fabalis. Journal Fur Ornithologie, 138(2), 215-228."
