Author,Year,NumberInDatabase,#Studies,#DatapointsFinal,StudyYear,Taxa,Orders,Infrastructure,Location,Habitat,Quality,Origin,Citation
McGregor et al. ,2008,92,13,108,2002-2003,Mammals,"Rodentia (6 sp.), Carnivora (1 sp.), Eulipotyphla (1 sp.)",Paved road,"Ottowa region, Canada",Forest,"1 (a=1,b=0)",Search string,"McGregor, R. L., Bender, D. J., & Fahrig, L. (2008). Do small mammals avoid roads because of the traffic?. Journal of Applied Ecology, 45(1), 117-123. "
Jones et al. ,2016,93,2,26,2009-2011,Mammals,"Rodentia (4 sp.), Dasyuromorphia (2 sp.), Peramelemorphia (1 sp.)","Dirt road, paved road ","Brisbane area, Australia",Forest,"1 (a=1,b=0)",Search string,"Jones, D. N., Bernede, L., Bond, A. R. F., Dexter, C., & Strong, C. L. (2016). Dust as a contributor to the road-effect zone: a case study from a minor forest road in Australia. Australasian Journal of Environmental Management, 23(1), 67-80."
Ascensao et al. ,2012,94,2,12,2008,Mammals,Rodentia (3 sp.),Highway,"Alentejo region, Portugal","Montado, agricultural","1 (a=1,b=0)",Search string,"Ascensao, F., Clevenger, A. P., Grilo, C., Filipe, J., & Santos-Reis, M. (2012). Highway verges as habitat providers for small mammals in agrosilvopastoral environments. Biodiversity and Conservation, 21(14), 3681-3697."
Marsh,2007,95,2,6,2001,Amphibians,Caudata (1 sp.),Gravel road,"Virginia, USA",Deciduous forest,"1 (a=1,b=0)",Search string,"Marsh, D. M. (2007). Edge effects of gated and ungated roads on terrestrial salamanders. The Journal of wildlife management, 71(2), 389-394."
Yahner et al.,2001B,98,1,16,1998-1999,"Reptiles, Amphibians","Caudata (3 sp.), Squamata (5 sp.)",Powerline,"Center County, Pennsylvania, USA",Forest,"1 (a=1,b=0)",Search string,"Yahner, R. H., Bramble, W. C., & Byrnes, W. R. (2001). Effect of vegetation maintenance of an electric transmission right-of-way on reptile and amphibian populations. Journal of Arboriculture, 27(1), 24-29."
Niemi & Hanowski,1984,99,5,128,1980-1982,Birds,"Passeriformes (32 sp.), Anseriformes (1 sp.), Pelecaniformes (1 sp.), Charadriiformes (1 sp.), Accipitriformes (1 sp.), Gruiformes (1 sp.)",Powerline,"Red lake peatland, Minnesota, USA","Grassland, shrubland, pine forest","1 (a=0,b=1)",Search string,"Niemi, G. J., & Hanowski, J. M. (1984). Effects of a transmission line on bird populations in the Red Lake Peatland, northern Minnesota. The Auk, 101(3), 487-498."
Braga et al. ,2015,100,2,28,2009-2010,Mammals,"Rodentia (6 sp.), Didelphimorphia (4 sp.)","Highway, unpaved road","Itatiaina region, Brazil",Atlantic forest,"1 (a=1,b=0)",Search string,"Braga, C. A. D. C., Prevedello, J. A., & Pires, M. R. S. (2015). Effects of cornfields on small mammal communities: a test in the Atlantic Forest hotspot. Journal of Mammalogy, 96(5), 938-945."
Marsh & Beckman,2004,101,3,12,2001-2002,Amphibians,Caudata (1 sp.),Gravel road,"Virginia, USA",Temperate forest,"2 (a=1,b=1)",Search string,"Marsh, D. M., & Beckman, N. G. (2004). Effects of forest roads on the abundance and activity of terrestrial salamanders. Ecological applications, 14(6), 1882-1891"
Meunier et al. ,1999B,103,3,27,1996-1997,Mammals,"Rodentia (2 sp.), Eulipotyphla (1 sp.)",Highway,"Nîmes, Bordeax & Niort, France","Plantation forest, agricultural, matoral","1 (a=1,b=0)",Search string,"Meunier, F. D., Corbin, J., Verheyden, C., & Jouventin, P. (1999). Effects of landscape type and extensive management on use of motorway roadsides by small mammals. Canadian Journal of Zoology, 77(1), 108-117."
Fleming,2001,105,2,32,1998-1999,Birds,Passeriformes (12 sp.),Pipeline,"Gold Creek, Alberta, Canada",Temperate forest,"1 (a=1,b=0)",Search string,"Fleming, W. D. (2001). Effects of pipeline rights-of-way on forest birds in the boreal forest of Alberta."
Letto,2013,107,4,24,2011,Mammals,"Eulipotyphla (1 sp.), Rodentia (1 sp.)","Powerline, highway","Newfoundland, Canada","Coniferous forest, tundra","1 (a=1,b=0)",Search string,"Living with linear features: impact of roads, recreational trails and transmission line rights-of-way on small mammals in Newfoundland (Doctoral dissertation, Memorial University of Newfoundland)."
Huijser & Berger,2000,108,1,2,1996,Mammals,Eulipotyphla (1 sp.),Paved road,"Gelderland & Overijssel, the Netherlands",Grassland,"2 (a=1,b=1)",Search string,"Huijser, M. P., & Bergers, P. J. (2000). The effect of roads and traffic on hedgehog (Erinaceus europaeus) populations. Biological conservation, 95(1), 111-116."
Goosem,2000,109,8,96,1990-1993,Mammals,Rodentia (3 sp.),Gravel road,"Kuranda state forest, Australia",Mesophyll vine forest,"1 (a=1,b=0)",Search string,"Goosem, M. (2000). Effects of tropical rainforest roads on small mammals: edge changes in community composition. Wildlife Research, 27(2), 151-163."
Goosem,2002,110,2,30,1998-1999,Mammals,Rodentia (3 sp.),Gravel road,"State Forest 185, Australia",Vine forest,"2 (a=1,b=1)",Search string,"Goosem, M. (2002). Effects of tropical rainforest roads on small mammals: fragmentation, edge effects and traffic disturbance. Wildlife Research, 29(3), 277-289."
Rotenberry & Knick,1995,111,2,20,1991,Birds,Passeriformes (5 sp.),Paved road,"Snake river plains, Idaho, USA","Grassland, shrubland","1 (a=1,b=0)",Search string,"Rotenberry, J. T., & Knick, S. T. (1995). Evaluation of bias in roadside point count surveys of passerines in shrubsteppe and grassland habitats in southwestern Idaho. In: Ralph, C. John; Sauer, John R.; Droege, Sam, technical editors. 1995. Monitoring bird populations by point counts. Gen. Tech. Rep. PSW-GTR-149. Albany, CA: US Department of Agriculture, Forest Service, Pacific Southwest Research Station: p. 99-102, 149."
Lambertucci et al. ,2009,112,1,10,NA,Birds,"Cathartiformes (2 sp.), Falconiformes (2 sp.), Accipitriformes (1 sp.)",Paved road,"Neuquen, Argentina",Grassland,"1 (a=1,b=0)",Search string,"Lambertucci, S. A., Speziale, K. L., Rogers, T. E., & Morales, J. M. (2009). How do roads affect the habitat use of an assemblage of scavenging raptors?. Biodiversity and Conservation, 18(8), 2063-2074."
Ji et al. ,2017,114,3,12,NA,Mammals,Rodentia (2 sp.),Paved road,"Mt. Kalamaili Nature Reserve, XinJiang, China",Desert,"1 (a=1,b=0)",Search string,"Ji, S., Jiang, Z., Li, L., Li, C., Zhang, Y., Ren, S., ... & Chu, H. (2017). Impact of different road types on small mammals in Mt. Kalamaili Nature Reserve. Transportation Research Part D: Transport and Environment, 50, 223-233."
Bager & Rosa,2012,117,3,510,2008-2009,Birds,"Accipitriformes (4sp.), Anseriformes (5sp.), Apodiformes (1sp.), Charadriiformes (11sp.), Ciconiiformes (1sp.), Columbiformes (4sp.), Coraciiformes (2sp.), Cuculiformes (1sp.), Falconiformes (3sp.), Gruiformes (5sp.), Passeriformes (30sp.), Pelecaniformes (10sp.), Piciformes (2sp.), Podicipediformes (2sp.), Psittaciformes (1sp.), Strigiformes (1sp.), Suliformes (1sp.), Tinamiformes (1sp.)",Highway,"Banhado do Capao Seco, Banhado do Vinte e Cinco & Marisma da Ponte Petra, Brazil","Shrubland, peat bogs, wetland","1 (a=1,b=0)",Search string,"Bager, A., & da Rosa, C. A. (2012). Impacts of the BR-392 highway on bird communities in extreme southern Brazil. REVISTA BRASILEIRA DE ORNITOLOGIA, 20(1), 30-39."
Thompson et al. ,2015,118,1,66,2012-2014,Birds,Passeriformes (6 sp.),Paved road,"North Dakota, USA",Grassland,"1 (a=1,b=0)",Search string,"Thompson, S. J., Johnson, D. H., Niemuth, N. D., & Ribic, C. A. (2015). Avoidance of unconventional oil wells and roads exacerbates habitat loss for grassland birds in the North American Great Plains. Biological Conservation, 192, 82-90."
Clarke & White,2008,119,2,34,2001-2004,Mammals,"Peramelemorphia (2 sp.), Dasyuromorphia (2 sp.), Diprotodontia (1 sp.), Rodentia (4 sp.)",Powerline,"Southern Victoria, Australia",Forest,"1 (a=1,b=0)",Search string,"Clarke, D. J., & White, J. G. (2008). Recolonisation of powerline corridor vegetation by small mammals: timing and the influence of vegetation management. Landscape and urban planning, 87(2), 108-116."
Garcia et al. ,2007,121,2,7,1998,Reptiles,Squamata (1 sp.),"Paved road, unpaved road","Tenerife, Spain","Pine forest, Laurel forest","1 (a=1,b=0)",Search string,"García, J. D. D., Arévalo, J. R., & Fernández-Palacios, J. M. (2007). Road edge effect on the abundance of the lizard Gallotia galloti (Sauria: Lacertidae) in two Canary Islands forests. Biodiversity and Conservation, 16(10), 2949-2963."
Planilo & Malo,2013,122,1,3,2009,Mammals,Lagomorpha (1 sp.),Highway,"Madrid province, Spain",Grassland,"2 (a=1,b=1)",Search string,"Planillo, A., & Malo, J. E. (2013). Motorway verges: Paradise for prey species? A case study with the European rabbit. Mammalian Biology, 78(3), 187-192."
Aldridge,2017,123,1,18,2015,Amphibians,Caudata (3 sp.),Roads between 5-25m width,"Holly Springs National Forest, Mississippi, USA",Coniferous forest,"2 (a=1,b=1)",Search string,"Aldridge, Caleb Ashton, ""The effect of road crossings on stream-associated salamanders within Holly Springs National Forest"" (2017). Electronic Theses and Dissertations. 1274. https://egrove.olemiss.edu/etd/1274"
Lituma,2014,124,1,24,2010-2011,Birds,Passeriformes (8 sp.),Secondary roads with an average of 187 traffic volume,"Western Kentucky and Tennessee, USA",Grassland/agricultural,"1 (a=1,b=0)",Search string,"Lituma, Christopher Manuel, ""Regional Assessment of the Relationships of Conservation Practices to Northern Bobwhite and Other Priority Grassland Bird Breeding Populations. "" PhD diss., University of Tennessee, 2014. https://trace.tennessee.edu/utk_graddiss/2706"
Bissonette & Rosa,2009,125,1,4,2004,Mammals,Rodentia (2 sp.),Highway,"Beaver, Southwestern Utah, USA",Shrublands,"1 (a=1,b=0)",Search string,"Bissonette, J., & Rosa, S. (2009). Road Zone Effects in Small-Mammal Communities. Ecology and Society, 14(1). Retrieved April 21, 2020, from www.jstor.org/stable/26268027"
Yahner et al.,2001A,126,1,16,1999-2000,Amphibians-Reptiles,"Anura (1 sp.), Cuadata (3 sp.), Squamata (3 sp.), Testudines (1 sp.)",Powerline,"Montgomery County, Pennsylvania, USA",Mixed forest,"1 (a=1,b=0)",Search string,"Yahner, R. H., Bramble, W. C., & Byrnes, W. R. (2001). Response of amphibian and reptile populations to vegetation maintenance of an electric transmission line right-of-way. Journal of Arboriculture, 27(4), 215-221."
Maynar et al. ,2016,127,1,189,2013,Amphibians-Reptiles,"Anura (41 sp.), Cuadata (1 sp.), Squamata (21 sp.)",Dirt road,"Amazonian province of Orellana, Ecuador",Secondary forest,"1 (a=1,b=0)",Search string,"Maynard, R. J., Aall, N. C., Saenz, D., Hamilton, P. S., & Kwiatkowski, M. A. (2016). Road-edge effects on herpetofauna in a lowland Amazonian rainforest.�Tropical Conservation Science,�9(1), 264-290."
Nafus et al.,2013,128,3,18,2012,Reptiles,Testudines (1 sp.),"Dirt road, paved road","jave Desert, California, USA",Desert,"1 (a=1,b=0)",Search string,"Nafus, M. G., Tuberville, T. D., Buhlmann, K. A., & Todd, B. D. (2013). Relative abundance and demographic structure of Agassiz�s desert tortoise (Gopherus agassizii) along roads of varying size and traffic volume.�Biological Conservation,�162, 100-106."
Tanner & Perry,2007,129,5,25,2004,Reptiles,Squamata (1 sp.),Paved road,"Santa Cruz, Galapagos, Ecuador","Mangrove forest, desert, desert shrubland, arid woodland","2 (a=1,b=1)",Search string,"Tanner, D., & Perry, J. (2007). Road effects on abundance and fitness of Gal�pagos lava lizards (Microlophus albemarlensis). Journal of Environmental Management, 85(2), 270-278."
Goldingay & Whelan,1997,130,2,23,1995,Mammals,"Dasyuromorphia (1 sp.), Rodentia (1 sp.)",Powerline,"New South Wales, Australia",Eucalypt forest,"1 (a=1,b=0)",Search string,"Goldingay, R. L., & Whelan, R. J. (1997). Powerline easements: do they promote edge effects in eucalypt forest for small mammals?. Wildlife Research, 24(6), 737-744."
Semlitsch et al.,2007,131,1,6,2000-2003,Amphibians,Caudata (1 sp.),"Paved road, gravel road","Highlands Ranger District of the Nantahala National Forest, North Carolina, USA",Deciduous forest,"1 (a=1,b=0)",Search string,"Semlitsch, R. D., Ryan, T. J., Hamed, K., Chatfield, M., Drehman, B., Pekarek, N., ... & Watland, A. (2007). Salamander abundance along road edges and within abandoned logging roads in Appalachian forests. Conservation biology, 21(1), 159-167."
Vargas-Salinas & Amezquita,2013,132,1,2,2009,Amphibians,Anura (1 sp.),Paved road,"Forest Reserve of Yotoco, Colombia",Andean forest,"1 (a=1,b=0)",Search string,"Vargas-Salinas, F., & Am�zquita, A. (2013). Traffic noise correlates with calling time but not spatial distribution in the threatened poison frog Andinobates bombetes. Behaviour, 150(6), 569-584."
Sabino-Marques & Mira ,2012,133,1,6,2007,Mammals,"Rodentia (2 sp.), Eulipotyphla (1 sp.)",Paved road,"Evora, Portugal",Grassland,"1 (a=1,b=0)",Search string,"Sabino-Marques, H., & Mira, A. (2011). Living on the verge: are roads a more suitable refuge for small mammals than streams in Mediterranean pastureland?. Ecological research, 26(2), 277-287."
Brearley et al. ,2010,134,1,3,2007-2008,Mammals,Diprotodontia (1 sp.),Paved road,"Brisbane, Australia",Lowland forest,"1 (a=1,b=0)",Search string,"Brearley, G., Bradley, A., Bell, S., & McAlpine, C. (2010). Influence of contrasting urban edges on the abundance of arboreal mammals: a study of squirrel gliders (Petaurus norfolcensis) in southeast Queensland, Australia. Biological Conservation, 143(1), 60-71."
Carthew et al.,2013B,135,1,8,2004-2005,Mammals,"Diprotodontia (1 sp.), Rodentia (1 sp.)",Paved road,"Padthaway, Australia",Sandy heathland,"1 (a=1,b=0)",Search string,"Carthew, S. M., Garrett, L. A., & Ruykys, L. (2013). Roadside vegetation can provide valuable habitat for small, terrestrial fauna in South Australia. Biodiversity and conservation, 22(3), 737-754."
Jack,2014,136,2,284,2012,Birds,"Caprimulgiformes (1 sp.), Columbiformes (1 sp.), Passeriformes (38 sp.), Piciformes (3 sp.)",Highway,"South-east of Ontario, Canada",Mixed forest,"1 (a=1,b=0)",Search string,"Jack, J. R. (2014). Investigating the role of mortality in explaining the negative road effect on birds (Doctoral dissertation, Carleton University)."
Lee,2006,137,1,6,2003-2004,Mammals,"Diprotodontia (2 sp.), Diprotodontia (1 genus)",Paved road,"Fowlers Gap, Australia",Shrubland,"1 (a=1,b=0)",Search string,"Lee, E. (2006). The ecological effects of sealed roads in arid ecosystems (Doctoral dissertation, University of New South Wales)."
Ruiz-Capillas et al.,2013,138,2,9,2009-2011,Mammals,"Rodentia (2 sp.), Eulipotyphla (1 sp.)",Highway,"Avila, Spain",Mediterranean forest,"1 (a=1,b=0)",Search string,"Ruiz-Capillas, P., Mata, C., & Malo, J. E. (2013). Road verges are refuges for small mammal populations in extensively managed Mediterranean landscapes. Biological conservation, 158, 223-229."
Hunkapiller et al. ,2009,139,1,31,2004-2005,Amphibians-Reptiles,"Caudata (2 sp.), Anura (1 sp.), Squamata (13 sp.)",Dirt trail,"Texas, USA",Mixed forest,"1 (a=1,b=0)",Search string,"Hunkapiller, T. R., Ford, N. B., & Herriman, K. (2009). The effects of all-terrain vehicle use on the herpetofauna of an east Texas floodplain. Texas Journal of Science, 61(1), 3-14."
Knight & Kawashima,1993,140,2,8,1989,Birds,"Accipitriformes (1 sp.), Passeriformes (1 sp.)","Highway, powerline","Mojave desert, San Bernadino, USA",Desert,"2 (a=1,b=1)",Search string,"Knight, R. L., & Kawashima, J. Y. (1993). Responses of raven and red-tailed hawk populations to linear right-of-ways. The Journal of wildlife management, 266-271."
Cappa et al. ,2020,142,4,33,2014-2016,Mammals,"Cetartiodactyla (1 sp.), artiodactyla (1 sp.), Perissodactyla (1 sp.)","Paved road, unpaved road","Ischigualasto Provincial Park, Argentina",Open shrubland ,"1 (a=1,b=0)",Suggested by author,"Cappa, F. M., Giannoni, S. M., Ontiveros, Y., & Borghi, C. E. Direct and indirect effects of roads on activity patterns of the largest South American artiodactyl (Lama guanicoe) in a hyper‑arid landscape. Mammalian biology, 100, 453-461"
Barton & Holmes,2007,144,1,40,2002-2004,Birds,"Passeriformes (18 sp.), Piciformes (1 sp.), Columbiformes (1 sp.)",Dirt road,"California, USA",Shrubland,"1 (a=1,b=0)",Search string,"Barton, D. C., & Holmes, A. L. (2007). off?highway vehicle trail impacts on breeding songbirds in northeastern California. The Journal of wildlife management, 71(5), 1617-1620."
King et al. ,1996,145,1,2,1982-1985,Mammals,Rodentia (1 sp.),Dirt road,"New Zealand, Oceania",Forest,"1 (a=1,b=0)",Search string,"King, C. M., Innes, J. G., Flux, M., & Kimberley, M. O. (1996). Population biology of small mammals in Pureora Forest Park: 2. The feral house mouse (Mus musculus). New Zealand Journal of Ecology, 253-269."
Bramble et al. ,1984,146,1,74,1982,Birds,"Passeriformes (32 sp.), Piciformes (2 sp.), Strigiformes (1 sp.), Accipitriformes (1 sp.), Galliformes (1 sp.)",Powerline,"Pennsylvania, USA",Oak-hickory forest,"1 (a=1,b=0)",Search string,"Bramble, W. C., Byrnes, W. R., & Schuler, M. D. (1984). The bird population of a transmission right-of-way maintained by herbicides. J. Arbor, 10, 13-20."
Vargas-salinas,2011,147,1,42,2006,"Amphibians, Reptiles","Anura (8 sp.), Squamata (13 sp.)",Paved road,"Yotoco region, Colombia",Sub-andean forest,"1 (a=1,b=0)",Beebee et al. 2013,"Vargas-Salinas, F., Delgado-Ospina, I., & Lopez-Aranda, F. (2011). Amphibians and reptiles killed by motor vehicles in a Sub-Andean forest in western Colombia. Caldasia, 33(1), 121-138."
Ward et al. ,2008,148,1,12,2004,Amphibians,Caudata (5 sp.),Paved road,"West Virginia, USA",Forest,"2 (a=1,b=1)",Beebee et al. 2013,"Ward, R. L., Anderson, J. T., & Petty, J. T. (2008). Effects of road crossings on stream and streamside salamanders. The Journal of Wildlife Management, 72(3), 760-771."
Medinas et al. ,2019,149,2,114,2015,Mammals,Chiroptera (12 sp.),Paved road,"Portugal, Europe","Woodland, agricultural","2 (a=1,b=1)",Discussion literature,"Medinas, D., Ribeiro, V., Marques, J. T., Silva, B., Barbosa, A. M., Rebelo, H., & Mira, A. (2019). Road effects on bat activity depend on surrounding habitat type. Science of the Total Environment, 660, 340-347."
