"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD * Diet + logD * logBM + Habitat",2389.35427091346,"2446.11218838293","50.4279268963121","3.85817332673548e-09","6215.96319345785","0","0.2492","0","0.424","0.1051","0.0133","0.0687","0.7068",14.7316610151197
"~logD * Diet + logD2 * Diet + logD * logBM + logD * Habitat +      logD2 * Habitat + InfraType",2390.11958921867,"2474.99662711789","62.8025113770524","6.92825752066317e-09","5597.77648890848","0","0.2429","0","0.4384","0.1201","0.014","0.0819","0.7265",15.49697932033
"~logD * Diet + logD2 + logD * logBM + Habitat",2390.20530345315,"2451.66195474347","51.9307551205097","6.02492764614952e-09","6215.26807539987","0","0.2472","0","0.4277","0.1177","0.0134","0.0695","0.7146",15.5826935548098
"~logD * Diet + logD2 * Diet + logD * Habitat + logD2 * Habitat",2390.28393157031,"2456.43445422661","53.0939043291308","1.03425953291114e-08","6873.08336816657","0","0.2569","0","0.4081","0.0987","0.0123","0.0735","0.6932",15.6613216719697
"~logD * Diet + logD2 * Diet + logD * logBM",2390.7883713727,"2452.24502266303","51.3096087498822","7.98511539733476e-09","6291.27244888777","0","0.2476","0","0.4246","0.116","0.0134","0.069","0.7124",16.1657614743599
"~logD * Diet + logD2 * Diet + logD * logBM + logD * Habitat +      InfraType",2391.26462909493,"2471.46741848831","59.2368014826169","1.28468685761266e-08","5604.76962564101","0","0.2467","0","0.4308","0.1184","0.0107","0.0784","0.7182",16.6420191965899
"~logD * Diet + logD2 * Diet + logD * Habitat + logD2 * Habitat +      logBM",2391.32647143959,"2462.16598578459","54.1286641359391","1.78443226264972e-08","6550.01449298642","0","0.2569","0","0.408","0.098","0.0123","0.0749","0.6934",16.7038615412498
"~logD * Diet + logD2 + logD * Habitat",2391.5116728623,"2448.26959033178","47.5822591939718","1.43189900911321e-08","6875.06699112697","0","0.2622","0","0.398","0.102","0.0079","0.0668","0.6823",16.88906296396
"~logD * Diet + logD * logBM + InfraType",2391.78132669788,"2453.23797798821","50.2050028783337","1.31661764172795e-08","5866.26332198171","0","0.2481","0","0.4273","0.1124","0.0136","0.0677","0.7114",17.1587167995399
"~logD * Diet + logD2 + logD * Habitat + logBM",2392.14532177041,"2453.60197306074","49.0127290669207","2.25596389131231e-08","6554.43395381717","0","0.2623","0","0.3965","0.0986","0.0081","0.0691","0.6811",17.52271187207
"~logD * Diet + logD * Habitat + logD2 * Habitat + InfraType",2392.19312026937,"2463.03263461437","53.3852083117393","2.47024287523962e-08","6049.87401952358","0","0.2551","0","0.4149","0.1086","0.0128","0.0725","0.701",17.5705103710297
"~logD * Diet + logD2 * Diet + logD * logBM + Habitat",2392.24290598117,"2458.39342863747","51.9150994939351","1.74784409912784e-08","6215.23938345063","0","0.2477","0","0.4275","0.1184","0.0132","0.0694","0.7143",17.62029608283
"~logD * Diet + logD2 + logD * logBM + InfraType",2392.67494178485,"2458.82546444115","51.7467726986378","1.88361417295445e-08","5862.40984210793","0","0.2459","0","0.4317","0.126","0.0137","0.0684","0.7197",18.0523318865098
"~logD * Diet + logBM + logD * Habitat + logD2 * Habitat + InfraType",2393.18923980946,"2468.71284886206","54.4632086964635","3.97751615224651e-08","5831.33241714467","0","0.255","0","0.4149","0.1079","0.0125","0.0739","0.7012",18.5666299111199
"~logD * Diet + logD * logBM + Habitat + InfraType",2393.22523387276,"2459.37575652906","50.8441549075193","2.81184139799787e-08","5620.63178342995","0","0.248","0","0.4311","0.1158","0.0133","0.068","0.714",18.6026239744197
"~logD * Diet + logD2 * Diet + logD * Habitat",2393.56961255174,"2455.02626384206","47.5603341184578","4.3394083222776e-08","6874.61733201251","0","0.2624","0","0.3988","0.1027","0.008","0.0666","0.6827",18.9470026534
"~logD * Diet + logD2 + logD * logBM + Habitat + InfraType",2393.96259692387,"2464.80211126887","52.5755603057462","3.51759358178396e-08","5618.40788811617","0","0.2458","0","0.4352","0.1297","0.0132","0.0688","0.7222",19.3399870255298
"~logD * Diet + logD2 * Diet + logD * Habitat + logBM",2394.216160808,"2460.3666834643","48.9806181194577","6.41240201127772e-08","6551.36750235511","0","0.2625","0","0.3973","0.0994","0.0081","0.0689","0.6814",19.5935509096598
"~logD * Diet + logD2 * Diet + logD * Habitat + logD2 * Habitat +      InfraType",2394.27155750585,"2469.79516655846","53.3547144077762","6.39758040152527e-08","6045.11400169418","0","0.2555","0","0.415","0.1094","0.0127","0.0724","0.701",19.6489476075099
"~logD * Diet + logD2 * Diet + logD * logBM + InfraType",2394.69690390024,"2465.53641824524","51.7487595750643","5.04268803136978e-08","5856.89618707363","0","0.2465","0","0.4315","0.1266","0.0134","0.0683","0.7193",20.0742940018999
"~logD * Diet + logD2",2394.75688427847,"2442.10281522686","40.2828714982819","3.78285830482098e-08","7072.56592388916","0","0.2604","0","0.4039","0.1119","0.0114","0.0559","0.6878",20.1342743801297
"~logD * Diet + logD2 + logBM",2394.86141979105,"2446.91575812622","42.1926097181242","5.38472147077195e-08","6676.07084723516","0","0.2612","0","0.399","0.106","0.0112","0.0592","0.6839",20.2388098927099
"~logD * Diet + logD2 * Diet + logBM + logD * Habitat + logD2 *      Habitat + InfraType",2395.27064860878,"2475.47343800217","54.4338939230934","9.83579101755323e-08","5821.49437228062","0","0.2555","0","0.4151","0.1087","0.0124","0.0738","0.7011",20.6480387104398
"~logD * Diet + logD2 + logD * Habitat + InfraType",2395.43864718715,"2461.58916984345","47.8286944188678","1.06531505049101e-07","6051.19830951726","0","0.261","0","0.4046","0.1112","0.0082","0.0659","0.6895",20.8160372888096
"~logD * logBM + logD2 * logBM + logD * Habitat + Diet",2395.60173715216,"2461.75225980846","47.8458336164257","1.05731137699363e-07","6186.99129135141","0","0.2547","0","0.4345","0.1157","0.0114","0.0636","0.7078",20.9791272538196
"~logD * logBM + logD2 * logBM + logD * Habitat + logD2 * Habitat +      Diet",2395.84868220131,"2466.68819654631","49.8245562178993","1.16222926932475e-07","6154.94567046838","0","0.2526","0","0.4396","0.117","0.0138","0.0656","0.7132",21.2260723029699
"~logD * Diet + logD2 + Habitat",2395.92239046598,"2447.97672880115","41.1336731625499","8.8170805443693e-08","6994.97553835661","0","0.2611","0","0.4044","0.1132","0.0108","0.0569","0.6881",21.2997805676396
"~logD * Diet + logD2 * Diet + logD * logBM + Habitat + InfraType",2395.99434015495,"2471.51794920756","52.5753237294783","8.92749470723272e-08","5615.27112685012","0","0.2464","0","0.4351","0.1303","0.013","0.0688","0.7218",21.3717302566097
"~logD * Diet + logD2 + logBM + logD * Habitat + InfraType",2396.00661651382,"2466.84613085882","49.3152942824693","1.44852288235363e-07","5832.34175121534","0","0.2611","0","0.4033","0.1075","0.0081","0.0683","0.6881",21.3840066154798
"~logD * Diet + logD * Habitat",2396.41914201262,"2448.47348034779","40.449520679338","1.21194323976468e-07","6935.33476459619","0","0.2748","0","0.3811","0.073","0.0062","0.0599","0.6486",21.7965321142797
"~logD * Diet + logD2 + logBM + Habitat",2396.44712089637,"2453.20503836584","42.6359488116901","1.37680345470694e-07","6607.50110655198","0","0.2614","0","0.4015","0.1085","0.0111","0.0594","0.6858",21.8245109980298
"~logD * Diet + logD2 * Diet",2396.81648126139,"2448.87081959656","40.2561654092468","1.32586109138719e-07","7071.46864204066","0","0.2608","0","0.4044","0.1127","0.0113","0.0558","0.688",22.1938713630498
"~logD * Diet + logD2 * Diet + logBM",2396.92898188501,"2453.68689935448","42.1589839873425","1.71053137582221e-07","6670.99792800354","0","0.2615","0","0.3995","0.1068","0.0112","0.059","0.6841",22.30637198667
"~logD * Diet + logD * Habitat + logBM",2397.44247934349,"2454.20039681296","41.5093358351302","2.29802028120038e-07","6720.7279163506","0","0.2749","0","0.3812","0.0707","0.0066","0.0616","0.6483",22.8198694451498
"~logD * Diet + logD2 * Diet + logD * Habitat + InfraType",2397.51481489582,"2468.35432924082","47.8013616774035","2.78188847067907e-07","6045.98011446642","0","0.2613","0","0.4052","0.1118","0.0083","0.0658","0.6897",22.8922049974799
"~logD * Diet",2397.89605812474,"2440.52877041483","34.6888714402547","1.41729683022594e-07","7243.802484823","0","0.2722","0","0.385","0.0813","0.0096","0.051","0.6547",23.2734482264
"~logD * Diet + logD2 * Diet + Habitat",2397.98562029002,"2454.7435377595","41.1091918204444","2.75572552302494e-07","6994.73026490376","0","0.2614","0","0.405","0.1139","0.0108","0.0568","0.6884",23.3630103916798
"~logD * Diet + logD2 * Diet + logBM + logD * Habitat + InfraType",2398.09432297248,"2473.61793202509","49.2793725358864","3.62008512626598e-07","5823.27269775814","0","0.2614","0","0.4039","0.1082","0.0081","0.0681","0.6883",23.4717130741396
"~logD * Diet + logBM",2398.46060694552,"2445.80653789391","36.236512796431","2.58695876469194e-07","6996.21872484527","0","0.2731","0","0.3819","0.077","0.0094","0.0536","0.6514",23.8379970471797
"~logD * Diet + logD2 * Diet + logBM + Habitat",2398.51974106513,"2459.97639235546","42.6041399798929","3.97716101788767e-07","6604.5380751274","0","0.2617","0","0.4021","0.1093","0.0111","0.0592","0.686",23.8971311667897
"~logD * Diet + logD2 + logBM + InfraType",2398.65797853168,"2460.11462982201","42.5883901181677","4.00507769937773e-07","6091.04065859195","0","0.2601","0","0.4058","0.115","0.0111","0.0587","0.6909",24.0353686333397
"~logD * Diet + logD2 + InfraType",2398.66793396386,"2455.42585143333","40.5949311709066","3.47940495465317e-07","6370.74699810213","0","0.2594","0","0.4103","0.1213","0.0115","0.0554","0.6947",24.0453240655197
"~logD * logBM + logD2 * logBM + Diet + logD * Habitat + InfraType",2399.38922351568,"2474.91283256828","48.5152269115929","4.99688019796811e-07","5732.40648328578","0","0.253","0","0.443","0.1299","0.0113","0.0629","0.7168",24.7666136173398
"~logD * Diet + Habitat",2399.42538496272,"2446.77131591111","35.1551227977435","4.31668923713299e-07","7120.07897007724","0","0.2729","0","0.386","0.0824","0.0093","0.0515","0.6551",24.8027750643796
"~logD * Diet + logD2 + Habitat + InfraType",2399.65045720848,"2461.1071084988","41.6700399235319","6.01871155545989e-07","6065.84958038143","0","0.2598","0","0.4116","0.1238","0.0107","0.0565","0.6958",25.0278473101398
"~logD * logBM + logD2 * logBM + Diet + logD * Habitat + logD2 *      Habitat + InfraType",2399.6656431464,"2479.86843253978","50.5310695264174","5.02295951738955e-07","5717.8610388691","0","0.2508","0","0.4482","0.1322","0.0138","0.0648","0.7224",25.0430332480596
"~logD * Diet + logD2 + logBM + Habitat + InfraType",2400.10503626882,"2466.25555892512","43.2137932032666","8.00630672687856e-07","5835.41926259891","0","0.2602","0","0.409","0.1187","0.0106","0.059","0.6934",25.48242637048
"~logD * Diet + logBM + Habitat",2400.29230556401,"2452.34664389918","36.379666333164","7.97372742614478e-07","6863.5716614591","0","0.2733","0","0.3844","0.0787","0.0097","0.0535","0.6533",25.6696956656697
"~logD * Diet + logD * Habitat + InfraType",2400.39444036599,"2461.85109165632","40.4250370379995","1.04364464937043e-06","6060.29643758019","0","0.2742","0","0.3855","0.0788","0.0067","0.0591","0.6538",25.7718304676496
"~logD * logBM + logD2 * logBM + Diet",2400.59495351805,"2457.35287098752","38.8351267794908","7.71041459416467e-07","6321.24432762172","0","0.2555","0","0.4351","0.1263","0.0142","0.0514","0.7084",25.9723436197096
"~logD * Diet + logD2 * Diet + logBM + InfraType",2400.73755720131,"2466.88807985761","42.5549077949565","1.06527086076089e-06","6077.64036825374","0","0.2605","0","0.4062","0.1158","0.0111","0.0585","0.6909",26.11494730297
"~logD * Diet + logD2 * Diet + InfraType",2400.74087803472,"2462.19752932505","40.5666765438997","9.80398324961573e-07","6362.18611741406","0","0.2598","0","0.4107","0.1221","0.0115","0.0552","0.6948",26.1182681363798
"~logD * Diet + logBM + logD * Habitat + InfraType",2401.3625519066,"2467.5130745629","41.5473255512816","1.64656631212485e-06","5893.18022125708","0","0.2743","0","0.3855","0.0764","0.0069","0.0608","0.6533",26.7399420082597
"~logD * Diet + logD2 * Diet + Habitat + InfraType",2401.72888689699,"2467.87940955329","41.6423523354695","1.58041807749391e-06","6060.46759159806","0","0.2602","0","0.4121","0.1245","0.0107","0.0564","0.696",27.1062769986497
"~logD * Diet + InfraType",2401.82453858423,"2453.8788769194","34.7609499333633","1.67930003378128e-06","6446.95971258131","0","0.2716","0","0.39","0.0875","0.0099","0.0504","0.6602",27.2019286858899
"~logD * Diet + logD2 * Diet + logBM + Habitat + InfraType",2402.19055404486,"2473.03006838986","43.1812531534645","1.99659203773234e-06","5826.18288649783","0","0.2605","0","0.4094","0.1194","0.0106","0.0589","0.6935",27.5679441465199
"~logD * Diet + logBM + InfraType",2402.30684582747,"2459.06476329694","36.3735878605991","2.33200083357358e-06","6270.61206686523","0","0.2725","0","0.387","0.0834","0.0094","0.053","0.657",27.68423592913
"~logD * logBM + logD2 * logBM + logD * Habitat",2402.35461699983,"2463.81126829016","39.3263360702647","1.69333755585516e-06","6212.99168269863","0","0.2524","0.0464","0.4585","0.1429","0.0117","0.0476","0.7364",27.7320071014897
"~logD * logBM + logD2 * logBM + Diet + Habitat",2402.50223375905,"2463.95888504938","39.0357685565299","1.92400529302622e-06","6237.82383517043","0","0.2554","0","0.438","0.1284","0.0149","0.0513","0.7105",27.8796238607097
"~logD * logBM + logD2 * logBM + logD * Habitat + logD2 * Habitat",2402.62455949821,"2468.77508215451","41.4259773236021","1.73504195592833e-06","6180.14819221525","0","0.2502","0.0488","0.4633","0.1458","0.0139","0.0495","0.7421",28.0019495998699
"~logD * Diet + Habitat + InfraType",2403.32108017227,"2460.07899764175","35.2734668385466","3.81436438717382e-06","6079.81562071624","0","0.2721","0","0.3918","0.0901","0.0093","0.0508","0.6616",28.6984702739296
"~logD * Diet + logBM + Habitat + InfraType",2404.13032753586,"2465.58697882619","36.5436459731793","5.72272107423585e-06","5905.10126595652","0","0.2725","0","0.3902","0.0862","0.0095","0.0529","0.6597",29.5077176375198
"~logD * logBM + logD2 * logBM + Diet + InfraType",2404.23558137229,"2470.38610402859","39.7064960960998","3.63324550191716e-06","5989.30745000072","0","0.2538","0","0.4435","0.1413","0.014","0.0512","0.7175",29.61297147395
"~logD * logBM + logD2 * logBM + Diet + Habitat + InfraType",2406.00711668181,"2476.84663102681","40.0740173997265","7.36744597746784e-06","5742.38372888411","0","0.2537","0","0.4466","0.1442","0.0143","0.0513","0.7197",31.38450678347
"~logD * logBM + logD2 * logBM + logD * Habitat + InfraType",2406.12125964324,"2476.96077398824","40.2040984221464","6.97805520734427e-06","5817.4875341074","0","0.251","0.0487","0.465","0.1579","0.0118","0.0475","0.7441",31.4986497448999
"~logD * logBM + logD2 * logBM + logD * Habitat + logD2 * Habitat +      InfraType",2406.40767052416,"2481.93127957677","42.3571871756164","6.47700628464822e-06","5800.76977545042","0","0.2486","0.0511","0.4699","0.1617","0.0141","0.0493","0.75",31.7850606258198
"~logD * logBM + logD2 * logBM",2407.41881939856,"2459.47315773373","30.3003434674791","1.28708073534999e-05","6338.47935676042","0","0.2531","0.0396","0.4638","0.1552","0.0141","0.0365","0.7366",32.7962095002199
"~logD * Habitat + logD2 * Habitat + Diet",2407.82026307053,"2464.57818054","30.7457801080871","2.83449978987458e-05","7003.16490623717","0","0.2773","0","0.3918","0.0708","0.0108","0.0453","0.6474",33.1976531721898
"~logD * logBM + logD2 * logBM + Habitat",2409.24886425959,"2466.00678172906","30.6005929402838","3.02105162030574e-05","6262.5179090012","0","0.2531","0.0397","0.4662","0.1571","0.0147","0.0367","0.7381",34.6262543612497
