"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD + logD2 + Diet + InfraType",2418.52310598771,"2470.57744432288","17.7806610112616","0.00323423916452277","6492.50776118688","0","0.2819","0","0.389","0.087","0.0099","0.0261","0.6425",43.9004960893699
"~logD * Habitat + logD2 * Habitat + logBM",2418.72411354303,"2475.4820310125","19.2099947345305","0.00382329911256882","6695.13722504348","0","0.2737","0.0482","0.4258","0.0979","0.0113","0.0253","0.6887",44.1015036446897
"~logD + Diet + logBM + Habitat",2418.92939108275,"2466.27532203115","16.0324310784309","0.00297595329368092","7083.64452686636","0","0.2939","0","0.3712","0.0576","0.0074","0.0248","0.6074",44.3067811844098
"~logD + logD2 + Diet + logBM + InfraType",2419.14521621097,"2475.90313368044","19.2476098940186","0.00376526679683565","6220.60899180302","0","0.2823","0","0.3873","0.0834","0.0096","0.0284","0.6403",44.5226063126297
"~logD * Habitat + Diet + InfraType",2419.24819922155,"2476.00611669102","19.9757795923273","0.0027970194176122","6164.02204204864","0","0.295","0","0.3697","0.0562","0.0054","0.0309","0.6064",44.6255893232096
"~logD * logBM + Diet + logD * Habitat + InfraType",2419.35689299333,"2485.50741564963","23.5215395710052","0.00275537383354427","5754.79548159439","0","0.286","0","0.3826","0.0636","0.0073","0.0355","0.627",44.7342830949897
"~logD + logD2 + Diet + Habitat + InfraType",2419.57681047976,"2476.33472794923","18.7481469913788","0.00461080772177099","6166.35159583393","0","0.2825","0","0.3911","0.0893","0.0087","0.0274","0.6439",44.9542005814196
"~logD + Diet + InfraType",2420.12947808405,"2467.47540903244","14.6550066853116","0.00547293824657303","6598.760871462","0","0.2926","0","0.3719","0.062","0.0087","0.0226","0.611",45.5068681857097
"~logD * logBM + logD2 + Diet + InfraType",2420.3862084566,"2481.84285974693","20.0509009440544","0.00546078119541709","6038.1337347471","0","0.2802","0","0.3907","0.0844","0.0102","0.0295","0.6447",45.7635985582597
"~logD * logBM + Diet + InfraType",2420.52667171511,"2477.28458918458","18.088818058274","0.00601402576292941","6056.96064779694","0","0.2854","0","0.3816","0.068","0.0101","0.0274","0.6275",45.9040618167696
"~logD * logBM + logD * Habitat + logD2 * Habitat",2420.5796661411,"2482.03631743142","19.500844196987","0.00675503085343732","6340.63396369238","0","0.2728","0.0509","0.4279","0.1003","0.0114","0.0255","0.692",45.9570562427598
"~logD + logD2 + Diet + logBM + Habitat + InfraType",2420.59057399115,"2482.04722528147","19.803418241859","0.00601031942893422","5944.00582319086","0","0.2825","0","0.3909","0.0866","0.0088","0.029","0.6432",45.9679640928098
"~logD * Habitat + Diet + logBM + InfraType",2420.68864396124,"2482.14529525157","20.5700370157205","0.00446147042309741","6014.66394094374","0","0.2947","0","0.372","0.0554","0.0057","0.0317","0.6079",46.0660340628997
"~logD * Habitat + logD2",2420.9160542412,"2468.2619851896","12.6028514867964","0.0133885407339524","7007.97837420406","0","0.2811","0.0326","0.4168","0.0954","0.0062","0.0172","0.668",46.2934443428599
"~logD + Diet + logBM + InfraType",2421.13045908845,"2473.18479742363","15.7827358755797","0.00749254035000437","6442.5301092679","0","0.2932","0","0.3716","0.0598","0.0083","0.0243","0.6097",46.5078491901099
"~logD * Habitat + logD2 * Habitat + InfraType",2421.25129811558,"2482.7079494059","18.6681828268961","0.0092928518287073","6221.17048008292","0","0.2732","0.0389","0.4308","0.1037","0.0128","0.0246","0.6899",46.6286882172399
"~logD + Diet + Habitat + InfraType",2421.64472720887,"2473.69906554404","15.1110623150439","0.00989817877755116","6190.49909356723","0","0.2932","0","0.3744","0.0642","0.0078","0.0231","0.6127",47.0221173105297
"~logD * logBM + logD2 + Diet + Habitat + InfraType",2421.79111772648,"2487.94164038278","20.65380181449","0.0081262053588687","5768.90415666352","0","0.2803","0","0.3946","0.0876","0.0094","0.0301","0.6478",47.1685078281398
"~logD * logBM + Diet + Habitat + InfraType",2422.16080711407,"2483.6174584044","18.4106522793366","0.0102484068060363","5769.08991935152","0","0.2854","0","0.3855","0.0709","0.0096","0.0276","0.6306",47.5381972157297
"~logD * Habitat + logD2 + logBM",2422.34598663914,"2474.40032497431","13.3564051823031","0.0202582290550454","6698.06837559921","0","0.2808","0.043","0.414","0.0961","0.0063","0.0181","0.6718",47.7233767407997
"~logD * Habitat + logD2 * Habitat + logBM + InfraType",2422.87739075198,"2489.02791340828","19.2910549407645","0.013378237257016","6008.12922242521","0","0.2729","0.0493","0.4295","0.1059","0.0124","0.025","0.6942",48.2547808536397
"~logD + Diet + logBM + Habitat + InfraType",2422.92597961993,"2479.6838970894","15.9161796153348","0.0142110066301723","6033.05566612782","0","0.2933","0","0.3752","0.0623","0.0081","0.0244","0.6127",48.3033697215897
"~logD + logD2",2423.28539301327,"2461.20009227496","6.12756883384148","0.0467105879680387","7229.36114148133","0","0.2798","0.0294","0.4226","0.1026","0.0094","0.0083","0.6712",48.6627831149299
"~logD * logBM + logD2 + logD * Habitat",2423.82815496857,"2480.58607243805","14.0285527703314","0.0293188347747141","6354.62983910501","0","0.2788","0.0475","0.4174","0.0991","0.0068","0.0188","0.678",49.2055450702296
"~logD + logD2 + Habitat",2424.27521301827,"2466.90792530837","7.16065403372822","0.0669496968949346","7147.47834596608","0","0.2808","0.0286","0.4234","0.1018","0.0086","0.0097","0.6702",49.6526031199296
"~logD + logD2 + logBM",2424.37001988519,"2467.00273217528","7.1819711608942","0.0663184361745069","6837.22028214644","0","0.28","0.0397","0.4173","0.1018","0.0093","0.0097","0.673",49.7474099868496
"~logD * logBM + logD * Habitat + logD2 * Habitat + InfraType",2424.75189737035,"2495.59141171535","19.5839279071827","0.0206611162492054","5830.33582308828","0","0.2721","0.052","0.4315","0.1082","0.0126","0.0252","0.6974",50.1292874720098
"~logD * Habitat",2425.01144067454,"2467.64415296464","6.60393235318478","0.0856525620661833","7094.04642836512","0","0.2916","0.0342","0.4044","0.0751","0.0051","0.0094","0.6435",50.3888307761999
"~logD * Habitat + logD2 + InfraType",2425.01966072061,"2481.77757819008","12.6243943622234","0.0494038555860144","6221.29119891138","0","0.2805","0.0336","0.4198","0.1019","0.0074","0.0171","0.673",50.3970508222696
"~1",2425.29905314398,"2453.76341044936","0.411939064553737","0.520986950011326","8410.57889608068","0","0.2847","0.0328","0.4223","0.0932","0.0092","6e-04","0.6622",50.6764432456398
"~logD + logD2 + logBM + Habitat",2425.65992324843,"2473.00585419683","7.92110115474888","0.0945114923889539","6765.28704709376","0","0.2807","0.0387","0.4196","0.1022","0.0087","0.0107","0.6733",51.0373133500898
"~logD",2425.74643106404,"2458.93833974958","1.62486403489018","0.202414898948977","7462.93866652069","0","0.2896","0.0305","0.4086","0.0802","0.0081","0.0023","0.6464",51.1238211656996
