"FixedEffects","AICc","BIC","Qm","Qmp","QE","QEp","Sigma2_ID","Sigma2_Order_Family","Sigma2_Species","Sigma2_Source","Sigma2_Study","R2m","R2c","dAICc"
"~logD * Habitat + logD2 * Habitat",6441.11921415007,"6504.94801370021","30.8925286099681","9.83621366578671e-06","26274.8925750662","0","0.1961","0.0415","0.1201","0.0859","0.1639","0.0202","0.6837",20.94389246418
"~logD * Habitat + InfraType",6441.51482585045,"6511.13643185689","32.6553191605482","1.22146607890257e-05","26314.5472730522","0","0.1959","0.0419","0.1211","0.0781","0.1747","0.0211","0.6865",21.3395041645599
"~logD * Habitat + Diet + InfraType",6441.77492227807,"6517.18769080777","34.3991336003651","1.45008841325075e-05","26221.7790917661","0","0.1964","0.0456","0.1203","0.0552","0.1728","0.023","0.675",21.5996005921806
"~logD * Habitat + logD2 * Habitat + Diet",6442.04283104151,"6511.66443704796","31.9394556799317","1.67594816825013e-05","26236.3479642827","0","0.1965","0.0451","0.1194","0.0707","0.1618","0.0213","0.676",21.8675093556203
"~logD * Habitat + logD2 + logBM + Diet",6442.0627195628,"6511.68432556925","32.3571145029195","1.39365225528991e-05","26266.9849127886","0","0.1959","0.0516","0.1197","0.0663","0.1696","0.0213","0.6821",21.8873978769107
"~logD * Habitat + logD2 * Habitat + logBM",6442.34522641595,"6511.96683242239","32.0180328738094","1.61882340423715e-05","26272.4088995088","0","0.1963","0.0518","0.1193","0.0774","0.163","0.0209","0.6837",22.1699047300599
"~logD * Habitat + logBM + InfraType",6442.41322963706,"6517.82599816677","34.1581569881931","1.60895368775563e-05","26314.5470249496","0","0.1962","0.0533","0.1203","0.0649","0.1742","0.0222","0.6849",22.2379079511702
"~logD * Habitat + logD2 + InfraType",6442.80508959791,"6518.21785812761","33.4365840334544","2.19507646915135e-05","26098.4394442117","0","0.1955","0.0414","0.1211","0.088","0.1697","0.0215","0.6893",22.6297679120207
"~logD * Habitat + logD2 + Diet + InfraType",6443.16498756227,"6524.36727267413","34.972452972524","2.70491743671559e-05","26027.0948018957","0","0.196","0.0452","0.1203","0.0654","0.1681","0.0232","0.6783",22.9896658763801
"~logD * Habitat + Diet + logBM + InfraType",6443.53470057976,"6524.73698569161","34.9951945953469","2.67924229673746e-05","26192.4806759812","0","0.1964","0.0526","0.1203","0.0532","0.1729","0.0232","0.6778",23.3593788938706
"~logD * Habitat + logD2 + logBM + InfraType",6443.73209900783,"6524.93438411969","34.841492960758","2.85756982858293e-05","26098.3559259743","0","0.1957","0.0526","0.1203","0.075","0.1692","0.0225","0.6877",23.55677732194
"~logD * Habitat + logD2 * Habitat + logBM + Diet",6443.85986181413,"6519.27263034383","32.4372450682658","3.36938532911275e-05","26208.3543809176","0","0.1965","0.0517","0.1194","0.0698","0.1617","0.0214","0.679",23.6845401282408
"~logD * Habitat + logD2 * Habitat + InfraType",6444.66030158404,"6525.86258669589","33.489464602779","5.02555942659795e-05","26055.6744848005","0","0.1961","0.0414","0.1208","0.0919","0.1628","0.0216","0.6871",24.4849798981504
"~logD * Habitat + logD2 + Diet + logBM + InfraType",6444.92235287616,"6531.91250661772","35.5561885283358","4.75176192544574e-05","26001.4398935973","0","0.196","0.0522","0.1203","0.0634","0.1681","0.0234","0.681",24.7470311902707
